ID,num_z_bins,num_mass_bins,mass_cut,p_populated_subhalos,p_red_subhalos
100,150,30,8000000000000.0,1.0,1.0
101,150,30,4000000000000.0,1.0,1.0
102,150,30,6000000000000.0,1.0,1.0
103,150,30,10000000000000.0,1.0,1.0
104,150,30,20000000000000.0,1.0,1.0
105,150,30,40000000000000.0,1.0,1.0
106,50,30,8000000000000.0,1.0,1.0
107,50,40,8000000000000.0,1.0,1.0
108,50,50,8000000000000.0,1.0,1.0
109,50,60,8000000000000.0,1.0,1.0
110,50,100,8000000000000.0,1.0,1.0
111,75,30,8000000000000.0,1.0,1.0
112,75,40,8000000000000.0,1.0,1.0
113,75,50,8000000000000.0,1.0,1.0
114,75,60,8000000000000.0,1.0,1.0
115,75,100,8000000000000.0,1.0,1.0
116,100,30,8000000000000.0,1.0,1.0
117,100,40,8000000000000.0,1.0,1.0
118,100,50,8000000000000.0,1.0,1.0
119,100,60,8000000000000.0,1.0,1.0
120,100,100,8000000000000.0,1.0,1.0
121,125,30,8000000000000.0,1.0,1.0
122,125,40,8000000000000.0,1.0,1.0
123,125,50,8000000000000.0,1.0,1.0
124,125,60,8000000000000.0,1.0,1.0
125,125,100,8000000000000.0,1.0,1.0
126,150,40,8000000000000.0,1.0,1.0
127,150,50,8000000000000.0,1.0,1.0
128,150,60,8000000000000.0,1.0,1.0
129,150,100,8000000000000.0,1.0,1.0
130,175,30,8000000000000.0,1.0,1.0
131,175,40,8000000000000.0,1.0,1.0
132,175,50,8000000000000.0,1.0,1.0
133,175,60,8000000000000.0,1.0,1.0
134,175,100,8000000000000.0,1.0,1.0
135,200,30,8000000000000.0,1.0,1.0
136,200,40,8000000000000.0,1.0,1.0
137,200,50,8000000000000.0,1.0,1.0
138,200,60,8000000000000.0,1.0,1.0
139,200,100,8000000000000.0,1.0,1.0
140,50,60,2000000000000.0,1.0,1.0
